orth phon sense pos gender asp dic_name usg etym_lang
аврал АВР'АЛ " Общая работа на судне  " сущ. м. None "Толковый словарь Кузнецова" None англ.
автокар АВТОК'АР " автотележка.  " сущ. м. None "Толковый словарь Кузнецова" None англ.
адаптер АД'АПТЕР " = Звукосниматель.  " сущ. м. None "Толковый словарь Кузнецова" None англ.
айсберг 'АЙСБЕРГ " о ком-л. не понятом, не разгаданном окружающими.  " сущ. м. None "Толковый словарь Кузнецова" None англ.
акваланг АКВАЛ'АНГ " Аппарат, состоящий из баллонов со сжатым воздухом и шланга с загубником для дыхания человека под водой при длительных погружениях на глубину до 40 метров  " сущ. м. None "Толковый словарь Кузнецова" None англ.
акр АКР " Мера земельной площади, равная 4047 квадратных метра  " сущ. м. None "Толковый словарь Кузнецова" None англ.
алгол АЛГ'ОЛ " Один из языков программирования, применяемый для формализованной записи алгоритмов.  " сущ. м. None "Толковый словарь Кузнецова" None англ.
алло АЛЛ'О " Слушаю, слушай(те)  " межд. None None "Толковый словарь Кузнецова" None англ.
аммоний АММ'ОНИЙ " Группа атомов, состоящая из азота и водорода " сущ. м. None "Толковый словарь Кузнецова" None англ.
андеграунд АНДЕГР'АУНД " Получившее распространение в конце 60-х гг. 20 в. направление в музыке, связанное с поисками нового звучания музыкальных инструментов, отрицающее необходимость широкого признания и коммерческого успеха своей деятельности. " сущ. м. None "Толковый словарь Кузнецова" None англ.
антифриз АНТИФР'ИЗ " Водный раствор некоторых веществ, понижающих температуру замерзания воды " сущ. м. None "Толковый словарь Кузнецова" None англ.
апперкот АППЕРК'ОТ " Удар, наносимый боксёром снизу " сущ. м. None "Толковый словарь Кузнецова" None англ.
арт-рок АРТ-РОК " Одно из направлений рок-музыки, совмещающее классические формы музыкальных произведений с джазовыми мелодическими акцентами и основополагающей ролью басового ритма. " сущ. м. None "Толковый словарь Кузнецова" None англ.
ассемблер АСС'ЕМБЛЕР " Вспомогательная программа в операционной системе для автоматического перевода какой-л. программы действий на машинный язык. " сущ. м. None "Толковый словарь Кузнецова" None англ.
аут 'АУТ " Перелёт мяча или шайбы за черту игрового поля или площадки; пространство за такой чертой. " сущ. м. None "Толковый словарь Кузнецова" None англ.
аутсайдер АУТС'АЙДЕР " Команда или спортсмен, занимающие последние места в соревновании. " сущ. м. None "Толковый словарь Кузнецова" None англ.
аэробус АЭР'ОБУС " Пассажирский самолёт большой вместимости. " сущ. м. None "Толковый словарь Кузнецова" None англ.
багги Б'АГГИ " Облегчённый одноместный высокоманевренный спортивный автомобиль, используемый обычно в состязаниях по пересечённой местности. " сущ. м. None "Толковый словарь Кузнецова" None англ.
байт БАЙТ " Единица измерения количества информации и объёма памяти ЭВМ, равная 8 битам. " сущ. м. None "Толковый словарь Кузнецова" None англ.
баксы Б'АКСЫ " Доллары США. " None None None "Толковый словарь Кузнецова" None англ.
балкер Б'АЛКЕР " Судно, перевозящее сыпучие грузы насыпью или навалом. " сущ. м. None "Толковый словарь Кузнецова" None англ.
балласт БАЛЛ'АСТ " Специальный груз для обеспечения правильной осадки и остойчивости корабля или для регулирования высоты полёта аэростата. " сущ. м. None "Толковый словарь Кузнецова" None англ.
балласт БАЛЛ'АСТ " О том, кто (что) является лишним, ненужным, обременяющим кого-, что-л. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бампер Б'АМПЕР " Специальное устройство с передней и задней стороны автомобиля для смягчения силы удара. " сущ. м. None "Толковый словарь Кузнецова" None англ.
банджо Б'АНДЖО " Струнный щипковый музыкальный инструмент, имеющий вид небольшого барабана с длинным грифом " сущ. " ср. " None "Толковый словарь Кузнецова" None англ.
банкноты БАНКН'ОТЫ " = Банковские билеты. " None None None "Толковый словарь Кузнецова" None англ.
бар БАР " Небольшой ресторан; его зал или стойка со спиртными напитками и холодными закусками. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бар БАР " Единица измерения атмосферного давления " сущ. м. None "Толковый словарь Кузнецова" None англ.
бар БАР " Наносная мель у морских берегов " сущ. None None "Толковый словарь Кузнецова" None англ.
бармен Б'АРМЕН " Владелец бара или управляющий баром " сущ. м. None "Толковый словарь Кузнецова" None англ.
баронет БАРОН'ЕТ " наследственный дворянский титул, средний между титулами высшей знати и низшего дворянства; лицо с этим титулом. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бартер Б'АРТЕР " О взаимовыгодном обмене чем-л. " сущ. м. None "Толковый словарь Кузнецова" None англ.
баскетбол БАСКЕТБ'ОЛ " (очень высокий). " сущ. м. None "Толковый словарь Кузнецова" None англ.
бассет Б'АССЕТ " Порода собак с короткими лапами, вытянутым туловищем, развитой мускулатурой, жёсткой шерстью и длинными ушами; собака такой породы. " сущ. м. None "Толковый словарь Кузнецова" None англ.
батник Б'АТНИК " Приталенная рубашка или кофта с отложным воротником и застёжкой на планке " сущ. м. None "Толковый словарь Кузнецова" None англ.
баттерфляй БАТТЕРФЛ'ЯЙ " при котором обе руки одновременно выносятся для гребка над водой, совершая вращательные движения в вертикальной плоскости. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бедлам БЕДЛ'АМ " О большом шуме, беспорядке, неразберихе, хаосе где-л. " сущ. м. None "Толковый словарь Кузнецова" None англ.
бейсбол БЕЙСБ'ОЛ " Спортивная командная игра с мячом и битой, напоминающая русскую лапту. " сущ. м. None "Толковый словарь Кузнецова" None англ.
