index,word,count_rank
0,а,2
1,аберрация,2
2,абстракция,1
3,аван,1
4,авангард,2
5,аванс,1
6,авиа,1
7,автомат,1
8,агент,1
9,агро,2
10,ад,1
11,адонис,2
12,адрес,2
13,адский,2
14,ажур,1
15,азбука,2
16,академизм,1
17,академик,1
18,академический,2
19,аккредитовать,1
20,аккуратно,1
21,аксессуары,1
22,акт,2
23,актив,1
24,акцент,2
25,акцентировать,1
26,алгоритм,1
27,алчный,1
28,альт,1
29,американский,1
30,аморфный,1
31,анализ,1
32,аналитический,1
33,анархия,1
34,анатомия,1
35,анахронизм,1
36,ангел,1
37,англичанка,1
38,анонимный,1
39,ансамбль,2
40,анти,1
41,антитеза,1
42,антиципация,1
43,антресоли,1
44,аполлон,1
45,апостол,1
46,апофеоз,1
47,аппарат,2
48,аппендикс,1
49,аппликация,1
50,аптекарский,1
51,арабески,1
52,арена,2
53,аристократический,1
54,аромат,1
55,арсенал,1
56,артиллерия,1
57,артист,1
58,артистический,1
59,архив,1
60,архитектура,2
61,аскетизм,1
62,аскетический,1
63,аспид,1
64,ассоциация,1
65,астрономический,1
66,атака,2
67,атлет,1
68,атмосфера,1
69,атомный,1
70,атрибут,1
71,аттестат,2
72,аудитор,1
73,аура,1
74,ахнуть,2
75,ацетат,1
76,аэро,2
77,баба,2
78,бабахать,1
79,база,2
80,базар,1
81,бакалавр,1
82,балаган,1
83,баланс,1
84,балансир,2
85,балансировать,2
86,балет,1
87,балласт,1
88,баллон,2
89,баловаться,1
90,баловень,1
91,баловство,1
92,бальзам,2
93,банан,2
94,банк,2
95,баня,1
96,барабан,1
97,барабанить,2
98,баран,1
99,баранка,1
100,барахольный,1
101,барашек,2
102,барбарис,1
103,баритон,1
104,бархат,1
105,барыня,2
106,барышня,2
107,барьер,2
108,бас,2
109,басма,1
110,бассейн,1
111,бастард,1
112,баталия,1
113,батарея,2
114,батюшка,1
115,батя,1
116,бахнуть,1
117,бацилла,1
118,башмаки,2
119,башмачок,1
120,башня,2
121,бегать,2
122,беглый,2
123,бегство,1
124,бегун,1
125,бедность,1
126,бедный,1
127,бедро,1
128,бежать,2
129,без,1
130,безбожный,1
131,безводный,1
132,безглазый,1
133,бездна,2
134,бездонный,1
135,безжизненный,2
136,безнадежный,2
137,безобразный,1
138,безоглядный,1
139,безотказный,1
140,безумный,1
141,белеть,1
142,белить,1
143,белый,2
144,беречь,2
145,бес,1
146,беситься,2
